Reviewer;Titel;Autoren;Veröffentlicht;DOI;Studientyp;Diagnose (ICD);Zielstellung;Population;Ökonomisch Perspektive;Primäre Mes;Komparator;Zeithorizont;Diskontier;Intervention;Produktbeze;TRL;Kategorie na;Modelltyp;Begründung;Externe Moc;Modellierun;Quelle für;Validierung;Nutzenmess;Befragung;Nutzung von;Punktschätz;Wahrscheinl;Fazit;Robustness;Notizen
Milan P;Long-Term Cost Effectiveness of Digital Inhaler Adherence Technologies in Difficult-to-Treat Asthma;van de Hei et al;2023;10.1016/j.jval.2023.05.011;Modelbasiert;Difficult-to-treat Asthma;Langfristige CUA;Hypothetische Kohorte;Gesellschaftliche Perspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;Digitaler Inhaler;INCA Sun;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Mehrfachauswahl;Primärdaten;Externe Quellen;-3.207 Euro Jahreskosten und -26.309 Euro über Lebenszeit;One-Way Sensitivity Analysis;Testi
Milan P;Health Economics;Phelps C;2017;10.1016/j.jval.mock.001;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;The Economics of Health and Health Care;Folland S et al.;2017;10.1016/j.jval.mock.002;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Health Economics and Policy;Henderson J;2014;10.1016/j.jval.mock.003;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Decision Modelling for Health Economic Evaluation;Briggs A et al.;2006;10.1016/j.jval.mock.004;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
Milan P;Health Economics: An International Perspective;Zweifel P et al.;2009;10.1016/j.jval.mock.005;Modelbasiert;Asthma (J45);Langfristige CUA;Pädiatrische Kohorte;Krankenkassenperspektive;Diskontierte QALYs;Standard Inhaler;Lebenslang;3%;E-Learning Portal;AsthmaCare;7;Prävention;Entscheidungsbaum;Nein;Ja;Ja;Literatur;Ja;Nein;Ja;Mehrfachauswahl;Literatur;Externe Quellen;ICER 8.900 EUR;One-Way Sensitivity Analysis;
Milan P;Applied Health Economics;Jones A et al.;2012;10.1016/j.jval.mock.006;Modelbasiert;Diabetes Mellitus (E11);Langfristige CUA;Erwachsene Typ-2-Diabetiker;Gesellschaftliche Perspektive;Diskontierte QALYs;Standardversorgung;Lebenslang;3%;DiGA App;GlucoTrack;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Nein;Unsicherheit;Registerdaten;Primärdaten;PSA;ICER 12.500 EUR;Probabilistic Sensitivity Analysis;
Milan P;Health Economics from Theory to Practice;Bhattacharya J et al.;2013;10.1016/j.jval.mock.007;RCT;Depression (F32);CUA;Erwachsene Patienten;Krankenkassenperspektive;Diskontierte QALYs;Usual Care;5 Jahre;3%;Tele-Therapie;MindHeal;8;Digital Therapeutics;Entscheidungsbaum;Ja;Nein;Ja;Literatur;Ja;Ja;Ja;Klinische Studien;Literatur;Bootstrapping;Dominant (Kostensparend);One-Way Sensitivity Analysis;
Milan P;Cost-Effectiveness in Health and Medicine;Neumann P et al.;2016;10.1016/j.jval.mock.008;Systematischer Review;Hypertonie (I10);Budget Impact Analyse;Patienten >65 Jahre;Gesundheitssystemperspektive;Verhinderte Herzinfarkte;Standardversorgung;10 Jahre;5%;Wearable Tracker;HyperWatch;9;Telemedizin;Mikrosimulation;Ja;Ja;Ja;Sekundärdaten;Nein;Nein;Nein;Routinedaten;Expertenmeinung;Externe Quellen;Einsparung 4.200 EUR pro Jahr;Scenario Analysis;
Milan P;Methods for the Economic Evaluation of Health Care Programmes;Drummond M et al.;2015;10.1016/j.jval.mock.009;Beobachtungsstudie;COPD (J44);Kosten-Nutzen-Analyse;Patienten >40 Jahre;Gesellschaftliche Perspektive;Lebensjahre (LYG);Placebo;Lebenslang;3%;Smart Inhaler;INCA Pro;9;Commercial SaMD;Markov-Modell;Ja;Ja;Ja;Primärdaten;Ja;Ja;Unsicherheit;Mehrfachauswahl;Primärdaten;PSA;ICER 22.100 EUR;Probabilistic Sensitivity Analysis;
